"[run number]","wolf-gain-from-food","fix-initialization?","move-one-sheep?","hunt-wolves?","l10-too-many-sheep","initialization-seed","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","max-sheep","sheep-reproduce","[step]","count sheep","count wolves","mn-sheep","mx-sheep","mn-wolves","mx-wolves","ticks"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","469","0","31454","0","225621","2","31454","469"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","387","50064","0","7","50064","0","491","387"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","509","0","37326","0","251580","1","37326","509"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","366","51314","0","13","51314","0","407","366"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","453","51698","0","1","51698","0","715","453"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","406","51750","0","4","51750","0","549","406"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","168","0","94","0","601","39","597","168"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","359","0","2041","0","3239","4","2041","359"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","370","50193","0","10","50193","0","331","370"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","443","51817","0","1","51817","0","616","443"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","138","0","512","0","623","29","674","138"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","152","0","172","0","505","39","515","152"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","409","51681","0","5","51681","0","471","409"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","375","50071","0","7","50071","0","464","375"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","398","0","2330","0","4723","3","2330","398"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","154","0","200","0","534","35","529","154"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","407","51334","0","5","51334","0","518","407"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","332","0","1292","0","1508","6","1292","332"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","371","0","1577","0","2566","3","1577","371"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","355","0","1175","0","1426","5","1175","355"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","366","50873","0","8","50873","0","485","366"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","183","0","29","0","648","24","667","183"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","412","51696","0","2","51696","0","488","412"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","166","0","83","0","477","48","509","166"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","424","50804","0","4","50804","0","468","424"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","467","0","35809","0","255024","2","35809","467"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","366","0","1691","0","2849","4","1691","366"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","415","50151","0","1","50151","0","587","415"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","408","51283","0","3","51283","0","446","408"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","154","0","316","0","673","34","683","154"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","399","0","1886","0","3369","3","1886","399"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","394","50018","0","2","50018","0","478","394"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","382","51675","0","5","51675","0","530","382"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","375","0","2294","0","6691","4","2294","375"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","436","50477","0","1","50477","0","558","436"
